division,period_start,new_outbreaks,temp_mean_c,humidity_mean_pct,precip_total_mm,area_km2,chicken_density_mean_per_km2,chicken_density_max_per_km2,est_chicken_headcount
Chittagong,2025-01-01,0.0,25.62563535911602,74.54331491712708,1628.43,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Chittagong,2025-07-01,0.0,25.863260869565217,84.35630434782608,2434.15,30647.47006984467,1701.3076666666666,8132.0654296875,52140775.793763936
Dhaka,2007-01-01,31.0,25.713535911602207,62.04690607734806,832.04,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2007-07-01,2.0,24.891358695652176,85.55266304347826,1415.71,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2008-01-01,106.0,25.620329670329667,63.99362637362638,610.17,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2008-07-01,2.0,25.343260869565217,84.38059782608696,902.33,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2009-01-01,11.0,26.74099447513812,59.4128729281768,479.05,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2009-07-01,0.0,25.222771739130433,83.87407608695652,1139.13,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2010-01-01,9.0,26.391878453038675,63.18646408839779,643.88,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2010-07-01,0.0,25.57076086956522,83.60744565217392,839.86,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2011-01-01,76.0,25.64613259668508,63.69265193370166,622.39,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2011-07-01,3.0,25.473369565217393,82.04673913043479,949.38,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2012-01-01,14.0,26.4778021978022,57.31835164835165,459.51,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2012-07-01,2.0,24.53467391304348,81.3866304347826,795.23,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2013-01-01,1.0,25.742320441988948,59.81386740331491,663.22,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2013-07-01,0.0,25.33961956521739,84.3479347826087,727.87,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2014-01-01,0.0,26.65657458563536,58.40845303867403,677.4,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2014-07-01,0.0,25.420217391304345,81.03684782608696,840.07,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2015-01-01,0.0,26.0632044198895,63.18116022099448,808.18,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2015-07-01,0.0,26.01315217391305,79.54375,1053.77,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2016-01-01,0.0,26.912472527472527,62.75928571428572,784.72,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2016-07-01,0.0,25.629402173913046,85.17934782608695,1496.56,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2017-01-01,4.0,25.273977900552488,71.14955801104972,1481.77,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2017-07-01,3.0,25.54032608695652,86.51657608695652,2564.85,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2018-01-01,2.0,24.510055248618784,73.55049723756906,1339.45,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2018-07-01,0.0,25.464673913043477,80.9970652173913,1099.62,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2019-01-01,0.0,26.087071823204425,64.60845303867403,1081.4,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
Dhaka,2019-07-01,0.0,25.361739130434785,86.52244565217391,1733.77,31503.07273004304,2230.3727678571427,7065.30029296875,70263595.52091096
