year,semester,period_start,division,disease_short,serotype,animal_category,species,susceptible,cases,killed_disposed,slaughtered,deaths,vaccinated
2017,Jan-Jun 2017,2017-01-01,Dhaka,HPAI_nonpoultry_wildbird,H5N1,Wild,House Crow,,166.0,42.0,,124.0,
2017,Jan-Jun 2017,2017-01-01,Rajshahi,HPAI_nonpoultry_wildbird,H5N1,Wild,House Crow,,144.0,0.0,0.0,144.0,
2017,Jul-Dec 2017,2017-07-01,Dhaka,HPAI_poultry,H5N1,Domestic,Birds,,4000.0,440.0,,3560.0,
2017,Jul-Dec 2017,2017-07-01,Dhaka,HPAI_nonpoultry_wildbird,H5N1,Wild,House Crow,,92.0,28.0,0.0,64.0,
2018,Jan-Jun 2018,2018-01-01,Dhaka,HPAI_poultry,H5N1,Wild,Phasianidae (unidentified),,600.0,0.0,0.0,600.0,
2018,Jan-Jun 2018,2018-01-01,Dhaka,HPAI_nonpoultry_wildbird,,Wild,Phasianidae (unidentified),,600.0,0.0,0.0,600.0,
2018,Jan-Jun 2018,2018-01-01,Dhaka,HPAI_nonpoultry_wildbird,,Wild,House Crow,,,,,,
2018,Jan-Jun 2018,2018-01-01,Khulna,HPAI_poultry,H5N1,Domestic,Birds,,385.0,0.0,0.0,385.0,
2018,Jul-Dec 2018,2018-07-01,Khulna,HPAI_nonpoultry_wildbird,H5 (N untyped),Wild,House Crow,,31.0,0.0,0.0,31.0,
2019,Jan-Jun 2019,2019-01-01,Khulna,HPAI_nonpoultry_wildbird,,Wild,House Crow,,31.0,,,31.0,
2025,Jan-Jun 2025,2025-01-01,Khulna,HPAI_poultry,H5 (N untyped),Domestic,Birds,3978.0,1900.0,2078.0,0.0,1900.0,0.0
2025,Jan-Jun 2025,2025-01-01,Narayanganj Sadar,HPAI_nonpoultry_wildbird,H5N1,Wild,Serval,2.0,2.0,,,2.0,
