Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2011,Jan-Jun 2011,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,25,-,-,-,-,-,-,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,128673,Animal,28546,100127,0,28546,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,76,-,-,-,-,-,-,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,331665,Animal,41407,290258,0,41407,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,8,-,-,-,-,-,-,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,26370,Animal,3066,23304,0,3066,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,26,-,-,-,-,-,-,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,71184,Animal,7895,63289,0,7895,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Rangpur","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,9,-,-,-,-,-,-,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Rangpur","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,26454,Animal,3601,22853,0,3601,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Sylhet","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2011,Jan-Jun 2011,Asia,Bangladesh,"Sylhet","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1450,Animal,540,910,0,540,-
2011,Jul-Dec 2011,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,3,-,-,-,-,-,-,-
2011,Jul-Dec 2011,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,14154,Animal,848,13306,0,848,-
2011,Jul-Dec 2011,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2011,Jul-Dec 2011,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,27345,Animal,2532,24813,0,2532,-
2011,Jul-Dec 2011,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2011,Jul-Dec 2011,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1800,Animal,500,1300,0,500,-
2012,Jan-Jun 2012,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2012,Jan-Jun 2012,Asia,Bangladesh,"Chittagong","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,7239,Animal,2578,6252,0,987,0
2012,Jan-Jun 2012,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,14,-,-,-,-,-,-,-
2012,Jan-Jun 2012,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,214357,Animal,30241,196124,0,18233,0
2012,Jan-Jun 2012,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,3,-,-,-,-,-,-,-
2012,Jan-Jun 2012,Asia,Bangladesh,"Khulna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,2916,Animal,928,2183,0,733,0
2012,Jan-Jun 2012,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,3,-,-,-,-,-,-,-
2012,Jan-Jun 2012,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,2390,Animal,603,2252,0,138,0
2012,Jul-Dec 2012,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2012,Jul-Dec 2012,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,157668,Animal,8665,149003,0,8665,-
2013,Jan-Jun 2013,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2013,Jan-Jun 2013,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1800,Animal,558,1242,0,558,-
2013,Jan-Jun 2013,Asia,Bangladesh,"Rangpur","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2013,Jan-Jun 2013,Asia,Bangladesh,"Rangpur","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,12394,Animal,3420,8974,0,3420,-
2016,Jan-Jun 2016,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Cattle",-,-,-,Animal,-,-,-,-,-
2016,Jan-Jun 2016,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2016,Jan-Jun 2016,Asia,Bangladesh,"Rajshahi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","",Wild,-,"House Crow",-,-,-,Animal,40,0,0,40,-
2016,Jul-Dec 2016,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Cattle",-,-,-,Animal,-,-,-,-,-
2017,Jan-Jun 2017,Asia,Bangladesh,"Bangladesh","Foot and mouth disease virus (Inf. with)","A;Asia 1;O",Domestic,-,"Cattle",-,-,-,Animal,-,-,-,-,-
2017,Jan-Jun 2017,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,3,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Asia,Bangladesh,"Dhaka","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,3000,Animal,3160,2362,0,798,-
2017,Jan-Jun 2017,Asia,Bangladesh,"Dhaka","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Asia,Bangladesh,"Dhaka","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Wild,-,"House Crow",-,-,-,Animal,166,42,-,124,-
